feature,OVXDHT,OVXP,SHAMDHT,SHAMP,MeanDecreaseAccuracy,MeanDecreaseGini,Classification
039d853081041edd92f09d472f5d8fdf,1.745967612,-0.061052507,0.839763139,1.79087979,1.964590049,0.317610374,s__schaedleri_5
04c5e5f7d6e1ba4a2748693dcd77afd6,1.38840505,2.463557419,-1.657030108,-0.198856676,0.794084673,0.390741054,f__S24-7_1
14b932726f8e1c32444ce1c58c481a5b,3.652456484,1.835098229,-0.055188789,0.40697063,2.705519072,0.317995967,g__Roseburia
19c2b3f88a52dea5e130ccdc3394adb8,-0.866655146,1.189269564,2.417196794,1.339736975,1.988983406,0.415201265,f__S24-7_2
218ebc6c60fde53eea976f473a3d5aee,3.452793513,3.322041888,-0.83572956,2.795924312,4.011246494,0.481641999,o__Clostridiales_1
2b02c5e3badb88a37b79d04d954c5858,1.531519612,0.693822763,0.979294631,2.793475242,3.115133663,0.398008643,f__S24-7_3
2e59f1b99fab85cb63bce2f35a5ca838,0.990544107,2.633508998,1.851494617,-0.07777212,2.975045595,0.43084931,g__Allobaculum
3ae7caa9e7575a6bc2a0932e8952c64f,-0.397923203,0.944181095,1.487316523,0.828904524,1.679427846,0.386143227,o__Bacteroidales_1
3b9fa8cfdccd5f68fa61d136faa7d8fb,1.234234269,0.310451232,-0.164614725,2.264078399,1.623250637,0.412074887,f__Rikenellaceae_1
40243fc8a00f8ebd271e881ee8f354a1,-0.47802123,2.57357835,-0.073588651,3.067153821,2.853431427,0.638143943,f__S24-7_4
40d7d9cef37260a18835d48088dd83d9,-2.102672441,1.245974765,0.318616493,1.165599257,0.045068278,0.332595593,o__Bacteroidales_2
4c890d34b952ec6b2e0b8c670eb6d47c,1.132471806,1.460583134,1.807085722,1.221354977,2.57430196,0.392390916,o__Bacteroidales_3
4e13b0a4e0a3deb55768adf1d875e28f,-1.607096189,2.965820372,1.687236516,0.066378822,1.89121414,0.529633888,o__Bacteroidales_4
54df10b2c671e1384b096ab492a3c85b,1.121799957,1.331927277,-0.369478401,-1.019652146,0.318124921,0.403558221,f__Rikenellaceae_2
58ac43ab3653f8b975062a764e994a0b,0.497937311,1.407643005,3.124432045,0.824017806,3.103186269,0.424336724,o__Bacteroidales_5
5a55534a700fe6fc139cd51e6e3af937,-0.090690607,2.218168042,3.802348742,-1.530926266,2.714941435,0.405824822,o__Bacteroidales_6
5c84da062d316376fe8be9735aaf5b66,-0.221689916,0.869499261,2.830897916,1.496287869,3.03283603,0.573637259,o__Bacteroidales_7
60b20d764c1f2c35287b225e3b195b2e,-0.201586935,-0.35481512,1.553324917,2.36897551,1.591299725,0.462401184,f__S24-7_5
61f41b7546d47c5a7495d40062c6b1e5,-0.511520507,2.323878204,0.879149458,-0.265536966,1.48803481,0.361962241,f__Rikenellaceae_3
626d5d8df116add83e6b14c60adbc2dc,-0.930707438,2.689544152,2.680315261,1.361663496,2.93772239,0.407192697,g__Lactobacillus_1
64547667c88735701e168289a2a66718,2.723619062,3.652750449,2.411323327,1.421503925,3.961139618,0.506470513,g__Lactobacillus_2
67d5d4536a4458ff638dfbff7097ec89,0.309960911,-0.758313889,-0.417986898,0.819256183,0.042492325,0.315152504,f__S24-7_6
827d1c59a1b81504ea0794dc038b2ca5,-0.966357746,2.09795286,0.808388924,1.309354615,1.486471566,0.329342626,o__Bacteroidales_8
87b4ed017eb7d626fc735b2ac7f59539,-2.052054352,3.077227159,-0.002318122,-0.274666715,0.317339776,0.428554033,o__Bacteroidales_9
896ff78f6a5e46e65321c4b3c8e0635d,2.009986318,2.245832134,1.015180838,1.222279855,2.802229419,0.427220545,g__Lactobacillus_3
8a308a269f4a15e0885ddfba3d4c408e,2.816868476,0.799617777,1.462759335,1.77852846,2.558093708,0.429364807,s__schaedleri_3
8a9a536075ca4d38f077c4f22d915770,2.406878065,1.486048773,0.370772447,2.447680283,3.516688796,0.595675763,f__S24-7_7
8b599949a0dc390d21e6327a64e93f02,0.819559663,0.236250829,-0.979001565,1.467226696,1.031989527,0.372012439,f__Lachnospiraceae_4
8ccde3af6976e7fe31372774390a11af,1.395102023,-1.043422162,-1.649711448,0.2396113,-0.587447482,0.418920267,s__schaedleri_4
8fd65a495f609867ac5f609ee329dc74,1.021779849,2.999493358,2.706945691,0.546169506,3.241440219,0.418203839,s__vaginalis
931f5883b3352b8bc0552454962244f8,1.200718717,2.795358803,1.347885874,2.592464006,2.828963968,0.407046704,o__Clostridiales_2
98fd423223691b54d67d30e17ea6ba0d,0.523137492,3.097851715,4.2769522,1.23398025,3.963533292,0.627461318,o__Bacteroidales_10
9b749402c0eef9bb5e247fb27254e334,-1.127805466,2.037388162,3.198313548,1.429923347,3.291990744,0.687371556,o__Clostridiales_3
9d607ec0281187001a9d6e5e22f9561d,3.445412548,-0.882694271,0.340402962,3.860873204,4.083259168,0.707431547,f__Lachnospiraceae_1
aa21937bf830e3909322292dc6e6b93f,0.483491296,-0.092929167,1.58628649,-0.186284867,0.834366096,0.401027685,f__Rikenellaceae_4
ace220b7598137d9dbab272c9644ef45,-1.239004377,1.922035862,2.917997291,-0.398597678,2.397318667,0.425686887,f__Rikenellaceae_5
ae67c6666749ae89e0b39c620a0c7f21,2.475163603,-1.268199122,1.130492924,0.013340128,1.339911828,0.498090391,s__schaedleri_1
b18e9256830c2c9c3d873d8c3869fd08,2.392571721,-0.22646085,-1.208909762,2.369272359,2.461755128,0.393697316,f__Lachnospiraceae_2
bafacf4f776e79ad5747580a048cb22c,0.300693583,1.145746333,2.959377341,0.08466985,2.565727164,0.410341519,o__Bacteroidales_11
c23d918bc9dfc2aab79811863600f052,0.627730732,0.672839122,2.359725988,2.058012956,2.679247928,0.476775967,o__Bacteroidales_12
ca54231e81a204bace6c4902ec399250,1.887050714,3.657858965,-0.015772482,0.662128425,3.888072188,0.500455256,o__Clostridiales_4
d1a6d1e4f354da09d85a082b275e4af0,-1.015222283,1.971695169,2.61279093,-0.612423303,2.258185047,0.383344986,f__Rikenellaceae_6
d2680eca44a23956fabe78a6d85395d8,0.238002927,0.342294959,-1.257645091,0.154320971,-0.090379005,0.318482291,s__schaedleri_2
d82311585fcaf369be4fc43992657d73,0.050517227,-0.073426543,-1.034697033,2.829842911,0.774743563,0.425892943,f__S24-7_8
eafbc39a33d2a120c9a3f759de7f8b1e,1.581376523,-1.844646011,-0.754241208,0.25589545,-0.614740009,0.315052874,f__S24-7_9
f39682f9eb7628209f54c4fc7276617c,1.462498484,2.756082313,3.310605991,0.555151647,3.402193115,0.607490923,g__Lactobacillus_4
f39a465dea87d078d58d504de7fcf234,1.95481505,1.778933163,-0.896878999,1.755994596,2.124267564,0.342663846,g__Clostridium
f4496608bb586eb4cfd0969841385e32,0.284678073,1.14993252,-0.400077954,0.615063747,0.978171986,0.313749751,f__S24-7_10
f73a2737b2abae78ddea65f22c496b43,0.823466557,1.471630818,-0.96950298,1.548964761,1.797655589,0.369178536,f__Rikenellaceae_7
ff6ce267e4465c6a9860a1f2431a1658,3.126100992,0.262481185,-1.532545648,1.509205544,1.366508515,0.516157235,f__Lachnospiraceae_3
